,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
4469,231.7275,GREEN,232.83,228.914842807,228.914842807,232.83,1514376720
4499,231.68,GREEN,231.81,230.321171404,230.321171404,231.55,1514378520
4529,231.2125,GREEN,231.92,229.36,231.000585702,231.65,1514380320
4559,228.7125,RED,231.106542851,228.0,231.106542851,228.95,1514382120
4589,229.3275,RED,229.909521425,229.29,229.909521425,229.29,1514383920
4619,228.3825,RED,229.618510713,227.53,229.618510713,228.0,1514385720
4649,222.5,RED,229.000505356,222.5,229.000505356,222.5,1514387520
4679,225.64,RED,226.16,225.12,225.750252678,225.12,1514389320
4709,225.175,RED,225.695126339,225.06,225.695126339,225.06,1514391120
4739,220.415,RED,225.43506317,220.05,225.43506317,220.05,1514392920
4769,216.2875,RED,222.925031585,215.96,222.925031585,216.42,1514394720
4799,222.35,GREEN,222.5,219.606265792,219.606265792,222.5,1514396520
4829,223.955,GREEN,224.0,220.978132896,220.978132896,223.93,1514398320
4859,221.8825,RED,223.03,220.26,222.466566448,221.42,1514400120
4889,225.155,GREEN,225.51,222.174533224,222.174533224,225.51,1514401920
4919,223.27,RED,223.69,222.85,223.664766612,223.69,1514403720
4949,222.67,RED,223.467383306,222.0,223.467383306,223.28,1514405520
4979,218.47,RED,223.068691653,218.0,223.068691653,218.03,1514407320
5009,222.74,GREEN,222.74,220.769345827,220.769345827,222.74,1514409120
5039,223.87,GREEN,223.87,221.754672913,221.754672913,223.87,1514410920
5069,221.5725,RED,222.812336457,221.0,222.812336457,221.01,1514412720
5099,224.405,GREEN,224.97,222.192418228,222.192418228,224.97,1514414520
5129,220.925,RED,223.298709114,220.88,223.298709114,220.97,1514416320
5159,223.03,GREEN,223.15,222.111854557,222.111854557,223.15,1514418120
5189,223.37,GREEN,223.37,222.570927279,222.570927279,223.37,1514419920
5219,221.255,RED,222.970463639,221.25,222.970463639,221.25,1514421720
5249,222.1,RED,222.11273182,222.1,222.11273182,222.1,1514423520
5279,222.22,GREEN,222.27,222.10636591,222.10636591,222.17,1514425320
5309,222.6,GREEN,222.83,221.93,222.163182955,222.81,1514427120
5339,217.94,RED,222.381591477,217.76,222.381591477,217.76,1514428920
5369,211.99,RED,220.160795739,211.3,220.160795739,212.51,1514430720
5399,211.85,RED,216.075397869,211.85,216.075397869,211.85,1514432520
5429,211.605,RED,213.962698935,211.0,213.962698935,212.21,1514434320
5459,214.96,GREEN,214.96,212.783849467,212.783849467,214.96,1514436120
5489,211.54,RED,213.871924734,211.24,213.871924734,211.84,1514437920
5519,211.765,RED,212.705962367,211.05,212.705962367,211.05,1514439720
5549,210.4175,RED,212.235481183,208.91,212.235481183,210.92,1514441520
5579,211.2325,RED,211.76,210.7,211.326490592,210.71,1514443320
