,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP
4068,457.99,GREEN,457.99,454.971581532,454.971581532,457.99,1514353320
4129,459.8,GREEN,459.8,456.480790766,456.480790766,459.8,1514356920
4189,456.27,RED,458.140395383,456.27,458.140395383,456.27,1514360520
4249,451.2105,RED,457.205197691,451.081,457.205197691,451.33,1514364120
4308,446.28,RED,454.207848846,446.28,454.207848846,446.28,1514367720
4369,443.5,RED,450.243924423,442.01,450.243924423,442.01,1514371320
4429,448.95,GREEN,449.0,446.871962211,446.871962211,448.9,1514374920
4489,450.0,GREEN,450.0,447.910981106,447.910981106,450.0,1514378520
4549,447.475,RED,448.955490553,446.95,448.955490553,448.0,1514382120
4609,448.0,RED,448.215245276,448.0,448.215245276,448.0,1514385720
4669,439.86,RED,448.107622638,439.8,448.107622638,439.92,1514389320
4729,441.13725,RED,443.983811319,440.889,443.983811319,441.375,1514392920
4789,435.98975,RED,442.56053066,435.23,442.56053066,436.0,1514396520
4849,437.0,RED,439.27514033,437.0,439.27514033,437.0,1514400120
4909,436.621,RED,438.137570165,436.621,438.137570165,436.621,1514403720
4969,426.6035,RED,437.379285082,426.6,437.379285082,426.607,1514407320
5029,435.0,GREEN,435.0,431.991392541,431.991392541,435.0,1514410920
5089,437.61825,GREEN,438.61,433.495696271,433.495696271,437.0,1514414520
5149,433.42,RED,435.556973135,433.42,435.556973135,433.42,1514418120
5209,435.934,GREEN,436.26,434.488486568,434.488486568,436.26,1514421720
5269,439.55,GREEN,439.55,435.211243284,435.211243284,439.55,1514425320
5329,434.0,RED,437.380621642,433.0,437.380621642,433.0,1514428920
5386,426.4,RED,435.690310821,426.4,435.690310821,426.4,1514432520
5445,430.52,RED,431.04515541,430.52,431.04515541,430.52,1514436120
5509,420.05,RED,430.782577705,420.05,430.782577705,420.05,1514439720
5569,414.7,RED,425.416288853,414.7,425.416288853,414.7,1514443320
