,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VWAP,VOLUME,COUNT,DATE
27739,1516004460,1105.98,1106.0,1105.94,1105.97,1105.97,28.08851831,52,2018-01-15 08:21:00
27740,1516004520,1105.97,1106.0,1105.65,1105.98,1105.95,9.05349287,25,2018-01-15 08:22:00
27741,1516004580,1105.65,1106.0,1105.0,1105.96,1105.92,7.89645,26,2018-01-15 08:23:00
27742,1516004640,1105.93,1106.0,1105.03,1105.96,1105.94,8.18886371,26,2018-01-15 08:24:00
27743,1516004700,1105.05,1106.0,1105.05,1105.98,1105.84,9.63236818,27,2018-01-15 08:25:00
27744,1516004760,1106.0,1106.0,1105.98,1106.0,1105.99,14.46030766,21,2018-01-15 08:26:00
27745,1516004820,1106.0,1106.0,1105.98,1105.98,1105.98,8.62259055,18,2018-01-15 08:27:00
27746,1516004880,1105.93,1106.0,1105.09,1105.97,1105.22,12.13758404,16,2018-01-15 08:28:00
27747,1516004940,1105.97,1106.0,1105.0,1106.0,1105.53,21.024525600000004,28,2018-01-15 08:29:00
27748,1516005000,1106.0,1106.0,1101.85,1101.85,1105.53,62.32823644,42,2018-01-15 08:30:00
27749,1516005060,1101.85,1104.0,1100.0,1100.0,1100.78,60.82600211,50,2018-01-15 08:31:00
27750,1516005120,1100.0,1100.0,1099.95,1099.96,1099.97,21.71307895,35,2018-01-15 08:32:00
27751,1516005180,1099.96,1100.0,1097.0,1098.79,1098.34,35.24828348,46,2018-01-15 08:33:00
27752,1516005240,1098.79,1098.79,1097.0,1097.04,1097.61,28.14684262,21,2018-01-15 08:34:00
27753,1516005300,1097.04,1098.5,1097.0,1097.0,1097.05,33.74076139,30,2018-01-15 08:35:00
27754,1516005360,1097.0,1097.08,1096.26,1096.26,1096.99,23.43658911,20,2018-01-15 08:36:00
27755,1516005420,1096.98,1103.83,1096.26,1100.0,1098.05,56.16279188,51,2018-01-15 08:37:00
27756,1516005480,1100.0,1101.49,1092.17,1098.46,1096.36,165.64455667,70,2018-01-15 08:38:00
27757,1516005540,1097.49,1098.4,1092.22,1092.22,1092.78,370.96181206,90,2018-01-15 08:39:00
27758,1516005600,1092.64,1097.9,1092.33,1094.02,1094.56,37.92378099,41,2018-01-15 08:40:00
27759,1516005660,1093.01,1096.14,1092.11,1093.0,1094.13,38.61061047,87,2018-01-15 08:41:00
27760,1516005720,1093.0,1095.4,1092.11,1094.9,1093.52,235.12886229,69,2018-01-15 08:42:00
27761,1516005780,1094.89,1094.89,1091.09,1094.6,1092.56,114.18876611,87,2018-01-15 08:43:00
27762,1516005840,1094.59,1094.59,1091.58,1093.9,1093.53,91.48256565,60,2018-01-15 08:44:00
27763,1516005900,1093.86,1093.9,1091.58,1093.9,1093.62,30.91899919,68,2018-01-15 08:45:00
27764,1516005960,1093.9,1094.3,1093.0,1093.9,1093.88,20.81447893,49,2018-01-15 08:46:00
27765,1516006020,1093.9,1098.47,1093.9,1096.04,1096.18,30.71475,35,2018-01-15 08:47:00
27766,1516006080,1098.04,1098.04,1095.46,1098.04,1096.95,14.364624800000001,31,2018-01-15 08:48:00
27767,1516006140,1096.14,1098.41,1096.14,1098.41,1097.67,10.89955436,16,2018-01-15 08:49:00
27768,1516006200,1098.41,1099.99,1097.25,1097.25,1098.58,134.84182661,36,2018-01-15 08:50:00
27769,1516006260,1097.3,1099.99,1097.3,1099.99,1099.25,12.50158239,28,2018-01-15 08:51:00
27770,1516006320,1099.1,1103.0,1099.1,1102.0,1100.66,11.73707417,34,2018-01-15 08:52:00
27771,1516006380,1099.99,1102.0,1095.6,1101.85,1098.83,85.26346509999998,42,2018-01-15 08:53:00
27772,1516006440,1101.96,1101.97,1096.16,1100.13,1098.0,61.40387646,32,2018-01-15 08:54:00
27773,1516006500,1100.13,1101.89,1099.98,1101.8,1100.19,31.08898806,37,2018-01-15 08:55:00
27774,1516006560,1101.8,1101.87,1099.98,1100.0,1101.03,10.99747438,24,2018-01-15 08:56:00
27775,1516006620,1100.0,1100.0,1096.34,1099.9,1098.26,15.314039999999999,21,2018-01-15 08:57:00
27776,1516006680,1099.97,1100.0,1099.5,1099.93,1099.95,6.90503171,29,2018-01-15 08:58:00
27777,1516006740,1100.0,1101.85,1100.0,1100.0,1100.82,10.16200111,15,2018-01-15 08:59:00
27778,1516006800,1100.0,1101.85,1098.05,1098.9,1100.69,11.80022593,30,2018-01-15 09:00:00
27779,1516006860,1099.94,1100.0,1098.15,1100.0,1099.11,17.24147064,26,2018-01-15 09:01:00
27780,1516006920,1100.0,1101.82,1098.15,1101.82,1099.49,17.09180863,37,2018-01-15 09:02:00
27781,1516006980,1101.82,1101.82,1098.0,1099.93,1098.76,13.59193771,17,2018-01-15 09:03:00
27782,1516007040,1099.02,1099.89,1097.0,1097.0,1097.71,14.609463,25,2018-01-15 09:04:00
27783,1516007100,1097.0,1099.82,1096.77,1096.77,1097.27,8.64218975,25,2018-01-15 09:05:00
27784,1516007160,1096.77,1098.77,1096.77,1097.78,1097.93,5.7021023,8,2018-01-15 09:06:00
27785,1516007220,1097.76,1102.8,1095.92,1100.37,1099.36,112.84655581,66,2018-01-15 09:07:00
27786,1516007280,1100.0,1100.0,1096.42,1098.0,1097.88,17.07838259,25,2018-01-15 09:08:00
27787,1516007340,1098.0,1102.8,1098.0,1100.8,1101.75,45.98811244,34,2018-01-15 09:09:00
27788,1516007400,1100.79,1100.95,1097.11,1100.6,1098.16,30.0331963,28,2018-01-15 09:10:00
