,CLOSE,COLOR,HIGH,LOW,OPEN,PRICE,TIMESTAMP,DATE
67,57.464,RED,58.2031830371,56.957,58.2031830371,57.432,1514224560,2017-12-25 17:56:00
68,57.72375,RED,58.083,57.432,57.8335915186,57.69,1514226360,2017-12-25 18:26:00
69,58.50975,GREEN,58.795,57.69,57.7786707593,58.777,1514228160,2017-12-25 18:56:00
70,58.7755,GREEN,58.99,58.1442103796,58.1442103796,58.97,1514229960,2017-12-25 19:26:00
71,58.86,GREEN,58.99,58.4598551898,58.4598551898,58.989,1514231760,2017-12-25 19:56:00
72,58.9105,GREEN,59.275,58.6599275949,58.6599275949,58.797,1514233560,2017-12-25 20:26:00
73,58.9055,GREEN,59.79,58.7852137975,58.7852137975,58.235,1514235360,2017-12-25 20:56:00
74,58.77375,RED,58.97,58.235,58.8453568987,58.945,1514237160,2017-12-25 21:26:00
75,58.78375,RED,59.0,58.645,58.8095534494,58.745,1514238960,2017-12-25 21:56:00
76,58.706,RED,58.92,58.5,58.7966517247,58.702,1514240760,2017-12-25 22:26:00
77,58.616,RED,58.7513258623,58.5,58.7513258623,58.63,1514242560,2017-12-25 22:56:00
78,58.74225,GREEN,59.593,58.431,58.6836629312,58.514,1514244360,2017-12-25 23:26:00
79,58.2625,RED,58.791,58.086,58.7129564656,58.087,1514246160,2017-12-25 23:56:00
80,59.4395,GREEN,60.0,57.976,58.4877282328,59.892,1514247960,2017-12-26 00:26:00
81,60.95,GREEN,61.4,58.9636141164,58.9636141164,61.4,1514249760,2017-12-26 00:56:00
82,61.01375,GREEN,61.4,59.9568070582,59.9568070582,61.257,1514251560,2017-12-26 01:26:00
83,61.48325,GREEN,61.8,60.435,60.4852785291,61.898,1514253360,2017-12-26 01:56:00
84,65.58,GREEN,67.2,60.9842642645,60.9842642645,66.66,1514255160,2017-12-26 02:26:00
85,65.76575,GREEN,67.2,61.463,63.2821321323,67.2,1514256960,2017-12-26 02:56:00
86,66.0195,GREEN,67.2,64.015,64.5239410661,66.909,1514258760,2017-12-26 03:26:00
87,67.77825,GREEN,68.392,65.2717205331,65.2717205331,68.392,1514260560,2017-12-26 03:56:00
88,69.33675,GREEN,70.131,66.5249852665,66.5249852665,69.5,1514262360,2017-12-26 04:26:00
89,69.005,GREEN,70.0,66.02,67.9308676333,70.0,1514264160,2017-12-26 04:56:00
90,68.34575,RED,70.0,66.927,68.4679338166,68.228,1514265960,2017-12-26 05:26:00
91,69.80775,GREEN,70.83,67.001,68.4068419083,70.7,1514267760,2017-12-26 05:56:00
92,70.10725,GREEN,70.7,69.1072959542,69.1072959542,70.019,1514269560,2017-12-26 06:26:00
93,68.807,RED,70.019,67.963,69.6072729771,68.251,1514271360,2017-12-26 06:56:00
94,67.86575,RED,69.2071364885,66.368,69.2071364885,68.05,1514273160,2017-12-26 07:26:00
95,67.28925,RED,68.5364432443,66.285,68.5364432443,67.411,1514282160,2017-12-26 09:56:00
96,67.8045,RED,68.01,67.196,67.9128466221,68.006,1514283960,2017-12-26 10:26:00
97,68.93625,GREEN,70.0,67.321,67.8586733111,69.212,1514285760,2017-12-26 10:56:00
98,69.61825,GREEN,70.0,68.3974616555,68.3974616555,69.9,1514287560,2017-12-26 11:26:00
99,69.33,GREEN,69.9,68.872,69.0078558278,69.113,1514289360,2017-12-26 11:56:00
100,68.3615,RED,69.435,68.001,69.1689279139,68.005,1514291160,2017-12-26 12:26:00
101,68.42625,RED,68.7652139569,68.005,68.7652139569,68.5,1514292960,2017-12-26 12:56:00
102,67.852,RED,68.5957319785,66.498,68.5957319785,68.027,1514294760,2017-12-26 13:26:00
103,68.68175,GREEN,69.1,68.027,68.2238659892,68.8,1514296560,2017-12-26 13:56:00
104,69.22075,GREEN,69.9,68.4528079946,68.4528079946,69.138,1514298360,2017-12-26 14:26:00
105,69.4855,GREEN,69.99,68.8367789973,68.8367789973,69.407,1514300160,2017-12-26 14:56:00
106,70.1365,GREEN,70.83,69.1611394987,69.1611394987,70.177,1514301960,2017-12-26 15:26:00
107,69.94275,GREEN,70.399,69.6488197493,69.6488197493,69.852,1514303760,2017-12-26 15:56:00
108,69.969,GREEN,70.5,69.36,69.7957848747,70.008,1514305560,2017-12-26 16:26:00
109,70.4335,GREEN,70.98,69.8823924373,69.8823924373,70.377,1514307360,2017-12-26 16:56:00
110,72.33525,GREEN,72.999,70.1579462187,70.1579462187,72.996,1514309160,2017-12-26 17:26:00
111,73.04275,GREEN,73.9,70.371,71.2465981093,74.0,1514310960,2017-12-26 17:56:00
112,72.82225,GREEN,74.99,72.077,72.1446740547,72.111,1514312760,2017-12-26 18:26:00
113,72.05425,RED,74.7,70.501,72.4834620273,71.508,1514314560,2017-12-26 18:56:00
114,72.61625,GREEN,73.98,71.508,72.2688560137,72.497,1514316360,2017-12-26 19:26:00
115,71.7575,RED,72.497,71.511,72.4425530068,71.511,1514318160,2017-12-26 19:56:00
116,71.55475,RED,72.231,71.005,72.1000265034,71.492,1514319960,2017-12-26 20:26:00
117,70.8045,RED,71.8273882517,70.5,71.8273882517,70.507,1514321760,2017-12-26 20:56:00
118,72.8725,GREEN,76.99,70.5,71.3159441259,72.0,1514323560,2017-12-26 21:26:00
119,72.766,GREEN,74.0,71.821,72.0942220629,72.621,1514325360,2017-12-26 21:56:00
120,71.99475,RED,73.435,71.11,72.4301110315,71.718,1514327160,2017-12-26 22:26:00
121,71.05025,RED,72.2124305157,70.5,72.2124305157,71.183,1514328960,2017-12-26 22:56:00
122,70.37825,RED,71.6313402579,69.51,71.6313402579,70.402,1514330760,2017-12-26 23:26:00
123,69.05025,RED,71.0047951289,66.0,71.0047951289,69.897,1514332560,2017-12-26 23:56:00
124,69.9995,RED,70.52,69.12,70.0275225645,70.179,1514334360,2017-12-27 00:26:00
125,68.97575,RED,70.457,68.347,70.0135112822,68.357,1514336160,2017-12-27 00:56:00
126,67.46275,RED,69.4946306411,66.004,69.4946306411,67.4,1514337960,2017-12-27 01:26:00
127,68.2835,RED,68.883,67.392,68.4786903206,68.435,1514339760,2017-12-27 01:56:00
128,68.684,GREEN,69.47,68.3810951603,68.3810951603,68.42,1514341560,2017-12-27 02:26:00
129,68.678,GREEN,68.996,67.76,68.5325475801,68.978,1514343360,2017-12-27 02:56:00
130,69.31,GREEN,69.5,68.6052737901,68.6052737901,69.381,1514345160,2017-12-27 03:26:00
131,68.996,GREEN,69.381,68.451,68.957636895,69.076,1514346960,2017-12-27 03:56:00
132,68.977,GREEN,69.079,68.671,68.9768184475,69.079,1514348760,2017-12-27 04:26:00
133,68.86125,RED,69.079,68.4,68.9769092238,68.983,1514350560,2017-12-27 04:56:00
134,68.7745,RED,68.983,68.555,68.9190796119,68.78,1514352360,2017-12-27 05:26:00
135,68.6025,RED,68.899,68.389,68.8467898059,68.733,1514354160,2017-12-27 05:56:00
136,69.14,GREEN,69.467,68.389,68.724644903,69.352,1514355960,2017-12-27 06:26:00
137,69.356,GREEN,69.493,68.9323224515,68.9323224515,69.425,1514357760,2017-12-27 06:56:00
138,67.98125,RED,69.425,67.5,69.1441612257,67.5,1514359560,2017-12-27 07:26:00
139,68.12625,RED,68.885,67.5,68.5627056129,68.06,1514361360,2017-12-27 07:56:00
140,68.0575,RED,68.719,68.0,68.3444778064,67.611,1514363160,2017-12-27 08:26:00
141,67.90075,RED,68.2009889032,67.5,68.2009889032,68.03,1514364960,2017-12-27 08:56:00
142,68.4825,GREEN,69.594,67.3,68.0508694516,68.52,1514366760,2017-12-27 09:26:00
143,68.19275,RED,68.972,67.407,68.2666847258,68.092,1514368560,2017-12-27 09:56:00
144,68.17225,RED,68.689,68.0,68.2297173629,68.0,1514370360,2017-12-27 10:26:00
145,67.18125,RED,68.424,66.113,68.2009836815,67.094,1514372160,2017-12-27 10:56:00
146,67.6335,RED,68.127,66.801,67.6911168407,67.803,1514373960,2017-12-27 11:26:00
147,68.44475,GREEN,68.998,67.6623084204,67.6623084204,68.983,1514375760,2017-12-27 11:56:00
148,68.24775,GREEN,68.983,68.0,68.0535292102,68.003,1514377560,2017-12-27 12:26:00
