[Trader][2018-01-24 10:16:59,453][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:16:59,454][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:16:59,455][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:26:59.455693
[Trader][2018-01-24 10:16:59,591][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:07:00
[Trader][2018-01-24 10:16:59,618][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:16:59,620][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:16:59,620][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:26:59.620626
[Trader][2018-01-24 10:17:00,541][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:07:00
[Trader][2018-01-24 10:17:01,161][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:17:01,162][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:17:01,162][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:27:01.162696
[Trader][2018-01-24 10:17:02,038][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:17:02,039][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:17:02,039][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:27:02.039599
[Trader][2018-01-24 10:26:59,486][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:16:00
[Trader][2018-01-24 10:26:59,650][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:17:00
[Trader][2018-01-24 10:27:01,192][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:17:00
[Trader][2018-01-24 10:27:01,915][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:27:01,917][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:27:01,919][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:37:01.918806
[Trader][2018-01-24 10:27:02,071][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:17:00
[Trader][2018-01-24 10:27:02,226][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:27:02,227][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:27:02,228][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:37:02.227969
[Trader][2018-01-24 10:27:03,244][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:27:03,246][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:27:03,247][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:37:03.247576
[Trader][2018-01-24 10:27:05,108][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:27:05,109][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:27:05,109][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:37:05.109550
[Trader][2018-01-24 10:37:01,940][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:27:00
[Trader][2018-01-24 10:37:02,247][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:27:00
[Trader][2018-01-24 10:37:03,269][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:27:00
[Trader][2018-01-24 10:37:05,114][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:37:05,116][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:37:05,117][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:47:05.116989
[Trader][2018-01-24 10:37:05,131][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:27:00
[Trader][2018-01-24 10:37:05,141][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:37:05,142][INFO] - [XETHZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:37:05,143][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:37:05,143][INFO] - [XETHZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:37:05,144][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:47:05.143988
[Trader][2018-01-24 10:37:05,144][INFO] - [XETHZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:47:05.144167
[Trader][2018-01-24 10:37:06,736][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Calculating signal
[Trader][2018-01-24 10:37:06,738][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Signal received : Signal.PASS
[Trader][2018-01-24 10:37:06,739][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Next signal at 2018-01-24 10:47:06.738788
[Trader][2018-01-24 10:47:05,136][INFO] - [XXRPZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:37:00
[Trader][2018-01-24 10:47:05,161][INFO] - [XLTCZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:37:00
[Trader][2018-01-24 10:47:05,162][INFO] - [XETHZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:37:00
[Trader][2018-01-24 10:47:06,757][INFO] - [XXBTZEUR][H_1800_3_2_90_70] Pulling prices since 2018-01-24 10:37:00
